"A Conservative MP has told LBC that the ""vast majority"" of people breaking lockdown rules are from the BAME community. it is Muslim and BAME communities who have not been obeying lockdown rules. Ian clarified that he was talking about the Muslim community and Mr Whittaker responded: ""Of course. ""If you look at the areas where we've seen rises and cases, the vast majority - but not by any stretch of the imagination all areas - it is the BAME communities that are not taking this seriously enough. It doesn't specifically have to be in the Asian community, but that is the largest proportion. he was referring to the immigrant population and the MP said: ""Immigrant and Asian population.""",1
"Tom Cotton calls slavery 'necessary evil' in attack on New York Times' 1619 Project The Arkansas Republican senator Tom Cotton has called the enslavement of millions of African people “the necessary evil upon which the union was built”. prohibit use of federal funds to teach the 1619 Project, an initiative from the New York Times that reframes US history around August 1619 and the arrival of slave ships on American shores for the first time.that America is at root, a systemically racist country to the core and irredeemable,” America is a great and noble country founded on the proposition that all mankind is created equal. We have always struggled to live up to that promise, but no country has ever done more to achieve it.” He added: “We have to study the history of slavery and its role and impact on the development of our country because otherwise we can’t understand our country. As the Founding Fathers said, it was the necessary evil upon which the union was built, but the union was built in a way, to put slavery on the course to its ultimate extinction. “If chattel slavery – heritable, generational, permanent, race-based slavery where it was legal to rape, torture, and sell human beings for profit – were a ‘necessary evil’ as Tom Cotton says, it’s hard to imagine what cannot be justified if it is a means to an end. “Imagine thinking a non-divisive curriculum is one that tells black children the buying and selling of their ancestors, the rape, torture, and forced labor of their ancestors for PROFIT, was just a ‘necessary evil’ for the creation of the ‘noblest’ country the world has ever seen. Car drives through Black Lives Matter protest in Aurora, Colorado the paper was committed to representing “views from across the spectrum”.",1
"If the @NFL wants to speak out against “systemic racism”, they should immediately suspend every player who has 5 kids with 4 different women. Cause that hurts black people more than cops could ever do.",1
"I also love money, white-passing black man with a chip on his shoulders",1
"Oh, so he's just using race to attack a Black man in ways that make absolutely no sense in pursuit of goal that could only seem worthwhile to someone with a sociopathic level of ignorance to the realities of how Blackness has worked in America?",1
Vast majority of perpetrators & victims black. BLM march when?,1
"""We've always in the past had whites really participating in registering to vote. So many people don't seem to be concerned about (voting).""",1
"""I'm concerned about voter registration in Mississippi,""  the commissioner wrote. ""The blacks are having lots (of) events for voter registration. People in Mississippi have to get involved, too.""",1
"Sanders told The Commercial Dispatch that Black people were dependent on society because they were ""taken care of"" during slavery. ""In my opinion, they were slaves, and because of that, they didn't have to go out and earn any money, they didn't have to do anything,"" Sanders said. ""Whoever owned them took care of them, fed them, clothed them, worked them. They became dependent, and that dependency is still there. The Democrats right here who depend on the black vote to get elected, they make them dependent on them."" Sanders told the Clarion Ledger that his comments were made off the record but he stood by them. The Dispatch could not immediately be reached for comment Tuesday. Lowndes County supervisor Harry Sanders is shown during a Lowndes County Board of Supervisors meeting, Monday, June 15, 2020, in Columbus, Miss. Of the statue, Sanders told the paper, ""We haven't had slavery in the United States for 150 years. Why is it still an issue?""",1
"Slave owners depended on beating, rape, separation of families and fear to maintain free labor.",1
